Customer_ID,Age,Gender,Region,Brand_Preference,Purchase_Frequency,Average_Spend_INR,Purchase_Channel,Occasion,Mood,Satisfaction_Score
CUST0059,34,Male,South India,Munch,Monthly,1421,Local Shop,Holi,Relaxed,3
CUST0060,35,Other,North India,Munch,Weekly,1322,Retail Store,No Occasion,Excited,2
CUST0061,24,Other,East India,Cadbury Dairy Milk,Weekly,154,Local Shop,Valentine's Day,Excited,2
CUST0062,22,Male,West India,Cadbury Dairy Milk,Monthly,743,Retail Store,Valentine's Day,Sad,3
CUST0063,46,Male,North India,Perk,Monthly,1740,Retail Store,Birthday,Happy,1
CUST0064,55,Male,North India,Cadbury Dairy Milk,Monthly,1360,Retail Store,No Occasion,Excited,2
CUST0065,22,Female,North India,Cadbury Dairy Milk,Monthly,1242,Supermarket,No Occasion,Bored,3
CUST0066,42,Male,South India,Cadbury Dairy Milk,Monthly,1493,Online,Diwali,Happy,2
CUST0067,34,Male,East India,Ferrero Rocher,Monthly,1120,Online,Diwali,Relaxed,5
CUST0068,18,Other,South India,Ferrero Rocher,Monthly,1116,Supermarket,Birthday,Stressed,5
CUST0069,14,Male,West India,Cadbury Dairy Milk,Monthly,1394,Local Shop,Diwali,Excited,2
CUST0070,42,Other,South India,Cadbury Dairy Milk,Monthly,867,Supermarket,Valentine's Day,Excited,2
CUST0071,14,Other,North India,Ferrero Rocher,Weekly,270,Local Shop,Diwali,Happy,5
CUST0072,44,Female,South India,Amul Dark,Monthly,1586,Retail Store,New Year,Excited,2
CUST0073,54,Male,North India,Cadbury Dairy Milk,Monthly,1785,Supermarket,No Occasion,Happy,1
CUST0074,28,Male,East India,Nestle KitKat,Monthly,1514,Online,No Occasion,Excited,1
CUST0075,24,Other,South India,Munch,Monthly,193,Local Shop,Birthday,Relaxed,4
CUST0076,13,Female,South India,Munch,Occasionally,939,Supermarket,Birthday,Stressed,1
CUST0077,20,Female,South India,Munch,Weekly,1101,Supermarket,No Occasion,Happy,2
CUST0078,60,Male,North India,Toblerone,Occasionally,1927,Local Shop,Diwali,Happy,2
CUST0079,25,Other,North India,Nestle KitKat,Weekly,1923,Retail Store,New Year,Sad,3
CUST0080,27,Male,South India,Perk,Occasionally,839,Retail Store,Birthday,Relaxed,1
CUST0081,56,Male,South India,Nestle KitKat,Monthly,602,Retail Store,Raksha Bandhan,Happy,5
CUST0082,20,Male,East India,Amul Dark,Monthly,893,Retail Store,Birthday,Happy,5
CUST0083,22,Male,East India,Nestle KitKat,Weekly,708,Local Shop,Diwali,Happy,4
CUST0084,58,Other,West India,Amul Dark,Weekly,1930,Online,New Year,Excited,3
CUST0085,17,Female,East India,Ferrero Rocher,Weekly,1763,Supermarket,Valentine's Day,Excited,5
CUST0086,31,Male,East India,Cadbury Dairy Milk,Weekly,1900,Supermarket,Valentine's Day,Happy,4
CUST0087,59,Male,East India,5 Star,Monthly,886,Retail Store,Diwali,Relaxed,1
CUST0088,50,Male,North India,Cadbury Dairy Milk,Monthly,1068,Local Shop,No Occasion,Happy,3
CUST0089,23,Male,East India,Nestle KitKat,Occasionally,1240,Online,Birthday,Bored,3
CUST0090,55,Female,East India,Cadbury Dairy Milk,Weekly,1708,Online,Birthday,Bored,2
CUST0091,32,Female,South India,Nestle KitKat,Occasionally,1659,Supermarket,Birthday,Sad,1
CUST0092,32,Female,North India,Cadbury Dairy Milk,Monthly,800,Retail Store,Birthday,Bored,3
CUST0093,33,Female,West India,Munch,Weekly,298,Supermarket,Raksha Bandhan,Excited,4
CUST0094,30,Male,West India,Nestle KitKat,Monthly,824,Supermarket,New Year,Excited,5
CUST0095,22,Other,East India,Ferrero Rocher,Weekly,813,Online,Diwali,Relaxed,1
CUST0096,46,Female,West India,Nestle KitKat,Weekly,1430,Local Shop,Diwali,Stressed,1
CUST0097,38,Female,West India,Amul Dark,Monthly,1184,Online,New Year,Happy,3
CUST0098,42,Male,West India,5 Star,Monthly,741,Supermarket,Raksha Bandhan,Stressed,3
CUST0099,21,Male,East India,Amul Dark,Occasionally,1773,Retail Store,Valentine's Day,Sad,3
CUST0100,58,Male,West India,Perk,Monthly,869,Retail Store,Birthday,Happy,4
CUST0101,43,Male,East India,Munch,Occasionally,768,Local Shop,Birthday,Stressed,2
CUST0102,54,Other,South India,Toblerone,Occasionally,283,Local Shop,New Year,Relaxed,3
CUST0103,16,Other,South India,Perk,Occasionally,73,Local Shop,New Year,Happy,2
CUST0104,18,Female,West India,Cadbury Dairy Milk,Monthly,1099,Supermarket,New Year,Relaxed,2
CUST0105,26,Other,South India,Amul Dark,Weekly,1454,Supermarket,New Year,Bored,1
CUST0106,16,Female,East India,Ferrero Rocher,Weekly,1803,Local Shop,Valentine's Day,Excited,5
CUST0107,38,Female,South India,Perk,Monthly,1055,Retail Store,Valentine's Day,Sad,5
CUST0108,59,Other,West India,5 Star,Monthly,1419,Retail Store,Birthday,Relaxed,4
CUST0109,60,Female,East India,Perk,Weekly,1451,Retail Store,Valentine's Day,Relaxed,4
CUST0110,51,Male,North India,5 Star,Monthly,571,Supermarket,No Occasion,Happy,5
CUST0111,29,Female,East India,Cadbury Dairy Milk,Weekly,66,Online,Holi,Excited,5
CUST0112,31,Male,South India,Cadbury Dairy Milk,Occasionally,294,Retail Store,Raksha Bandhan,Happy,1
CUST0113,18,Other,North India,Nestle KitKat,Weekly,767,Retail Store,Diwali,Happy,1
CUST0114,41,Other,East India,Munch,Monthly,819,Retail Store,Diwali,Excited,5
CUST0115,23,Female,North India,5 Star,Occasionally,1697,Local Shop,Raksha Bandhan,Happy,3
CUST0116,28,Male,North India,Perk,Weekly,766,Supermarket,Diwali,Stressed,3
CUST0117,42,Female,North India,Perk,Monthly,1612,Local Shop,Birthday,Happy,1
CUST0118,37,Other,East India,Perk,Occasionally,1656,Local Shop,No Occasion,Happy,2
CUST0119,52,Female,South India,Munch,Weekly,1761,Online,New Year,Happy,5
CUST0120,23,Female,East India,5 Star,Weekly,1275,Local Shop,Raksha Bandhan,Happy,4
CUST0121,19,Male,South India,Amul Dark,Monthly,1321,Online,Birthday,Sad,3
CUST0122,38,Other,East India,Perk,Monthly,167,Local Shop,Birthday,Excited,2
CUST0123,34,Female,East India,Cadbury Dairy Milk,Monthly,58,Retail Store,Holi,Stressed,3
CUST0124,37,Male,East India,Perk,Weekly,647,Supermarket,Holi,Excited,2
CUST0125,31,Female,South India,Nestle KitKat,Monthly,72,Local Shop,No Occasion,Happy,5
CUST0126,43,Male,East India,Cadbury Dairy Milk,Weekly,289,Online,Birthday,Stressed,5
CUST0127,38,Male,North India,5 Star,Occasionally,1658,Supermarket,New Year,Happy,5
CUST0128,54,Female,East India,Ferrero Rocher,Monthly,76,Online,Diwali,Sad,1
CUST0129,53,Other,North India,Munch,Occasionally,1033,Retail Store,Birthday,Relaxed,2
CUST0130,48,Other,West India,Nestle KitKat,Monthly,1934,Local Shop,Raksha Bandhan,Sad,4
CUST0131,35,Male,West India,Ferrero Rocher,Occasionally,1154,Supermarket,Birthday,Excited,4
CUST0132,59,Other,South India,Nestle KitKat,Monthly,1669,Retail Store,New Year,Relaxed,5
CUST0133,25,Male,South India,Cadbury Dairy Milk,Monthly,248,Local Shop,Valentine's Day,Sad,4
CUST0134,37,Other,West India,Nestle KitKat,Monthly,1628,Local Shop,Diwali,Bored,3
CUST0135,14,Female,East India,Nestle KitKat,Occasionally,824,Online,Diwali,Stressed,2
CUST0136,14,Other,East India,Cadbury Dairy Milk,Monthly,141,Online,Diwali,Stressed,2
CUST0137,28,Male,East India,Nestle KitKat,Monthly,900,Retail Store,Diwali,Excited,2
CUST0138,21,Male,West India,Cadbury Dairy Milk,Monthly,1157,Online,Diwali,Sad,3
CUST0139,40,Other,North India,Perk,Occasionally,349,Retail Store,Raksha Bandhan,Happy,1
CUST0140,25,Female,South India,Cadbury Dairy Milk,Monthly,345,Retail Store,Raksha Bandhan,Stressed,3
CUST0141,47,Male,North India,Amul Dark,Monthly,696,Retail Store,No Occasion,Relaxed,2
CUST0142,53,Male,West India,5 Star,Monthly,1527,Online,Valentine's Day,Relaxed,2
CUST0143,25,Male,North India,Ferrero Rocher,Monthly,1354,Supermarket,Diwali,Happy,2
CUST0144,43,Male,East India,Munch,Occasionally,1050,Retail Store,Birthday,Bored,4
CUST0145,33,Male,East India,Perk,Occasionally,1132,Supermarket,No Occasion,Excited,1
CUST0146,44,Female,North India,Perk,Monthly,958,Local Shop,New Year,Relaxed,3
CUST0147,46,Other,West India,Cadbury Dairy Milk,Monthly,920,Online,Valentine's Day,Sad,2
CUST0148,20,Female,North India,5 Star,Occasionally,1415,Online,Birthday,Excited,5
CUST0149,53,Female,East India,5 Star,Monthly,802,Supermarket,New Year,Happy,1
CUST0150,60,Male,East India,Nestle KitKat,Occasionally,1538,Local Shop,New Year,Stressed,5
CUST0151,14,Female,West India,Cadbury Dairy Milk,Weekly,1953,Local Shop,New Year,Relaxed,1
CUST0152,50,Male,North India,Nestle KitKat,Weekly,391,Retail Store,No Occasion,Excited,2
CUST0153,44,Female,East India,Perk,Weekly,1683,Online,No Occasion,Happy,1
CUST0154,52,Male,East India,Nestle KitKat,Monthly,111,Local Shop,Birthday,Bored,1
CUST0155,40,Male,North India,Perk,Occasionally,825,Local Shop,Birthday,Relaxed,2
CUST0156,49,Female,North India,Cadbury Dairy Milk,Weekly,674,Retail Store,New Year,Stressed,5
CUST0157,53,Female,South India,5 Star,Occasionally,1502,Retail Store,Holi,Stressed,5
CUST0158,13,Other,West India,Nestle KitKat,Monthly,1731,Supermarket,Diwali,Happy,4
CUST0159,53,Other,West India,Cadbury Dairy Milk,Occasionally,1801,Online,No Occasion,Excited,5
CUST0160,22,Other,North India,Amul Dark,Monthly,305,Local Shop,Raksha Bandhan,Bored,5
CUST0161,16,Female,West India,Cadbury Dairy Milk,Occasionally,877,Supermarket,Birthday,Relaxed,1
CUST0162,47,Female,East India,Cadbury Dairy Milk,Weekly,1063,Online,No Occasion,Bored,4
CUST0163,22,Male,North India,Nestle KitKat,Occasionally,1901,Supermarket,Raksha Bandhan,Excited,2
CUST0164,59,Other,North India,Ferrero Rocher,Weekly,1947,Online,Birthday,Relaxed,2
CUST0165,23,Male,North India,Munch,Monthly,1843,Online,Diwali,Sad,3
CUST0166,26,Male,South India,5 Star,Occasionally,1779,Local Shop,Birthday,Relaxed,4
CUST0167,50,Male,West India,Ferrero Rocher,Weekly,1420,Online,Raksha Bandhan,Relaxed,1
CUST0168,24,Male,South India,Cadbury Dairy Milk,Weekly,1599,Retail Store,Birthday,Happy,3
CUST0169,57,Other,East India,Ferrero Rocher,Monthly,1377,Local Shop,Birthday,Sad,3
CUST0170,29,Male,West India,Perk,Monthly,664,Retail Store,No Occasion,Happy,2
CUST0171,28,Female,South India,Nestle KitKat,Monthly,294,Supermarket,No Occasion,Excited,5
CUST0172,47,Female,North India,Cadbury Dairy Milk,Weekly,806,Supermarket,Diwali,Excited,1
CUST0173,14,Female,South India,Nestle KitKat,Weekly,873,Online,New Year,Happy,4
CUST0174,23,Other,North India,5 Star,Monthly,829,Online,Diwali,Stressed,3
CUST0175,53,Male,South India,Nestle KitKat,Weekly,1809,Retail Store,Diwali,Relaxed,1
CUST0176,15,Other,South India,5 Star,Occasionally,781,Retail Store,Diwali,Relaxed,2
CUST0177,41,Male,South India,Nestle KitKat,Weekly,1896,Retail Store,No Occasion,Stressed,3
CUST0178,30,Other,North India,Cadbury Dairy Milk,Monthly,1485,Supermarket,No Occasion,Relaxed,3
CUST0179,32,Other,South India,Nestle KitKat,Weekly,927,Retail Store,Raksha Bandhan,Stressed,2
CUST0180,59,Male,West India,Ferrero Rocher,Weekly,1290,Local Shop,Raksha Bandhan,Happy,2
CUST0181,26,Other,West India,Cadbury Dairy Milk,Monthly,565,Local Shop,Raksha Bandhan,Happy,2
CUST0182,46,Male,West India,Cadbury Dairy Milk,Monthly,523,Supermarket,Birthday,Happy,1
CUST0183,43,Female,North India,Cadbury Dairy Milk,Weekly,85,Retail Store,Birthday,Excited,1
CUST0184,52,Female,North India,Cadbury Dairy Milk,Weekly,1251,Retail Store,Raksha Bandhan,Bored,1
CUST0185,54,Female,West India,Nestle KitKat,Weekly,1460,Online,Holi,Relaxed,5
CUST0186,30,Other,West India,Munch,Occasionally,1842,Local Shop,Valentine's Day,Relaxed,3
CUST0187,42,Female,West India,Ferrero Rocher,Monthly,1090,Supermarket,No Occasion,Happy,1
CUST0188,37,Male,East India,Amul Dark,Weekly,1784,Retail Store,New Year,Relaxed,5
CUST0189,31,Female,West India,Nestle KitKat,Monthly,879,Online,Birthday,Happy,3
CUST0190,20,Female,South India,Nestle KitKat,Occasionally,1121,Supermarket,Holi,Sad,1
CUST0191,40,Other,East India,Cadbury Dairy Milk,Occasionally,1135,Supermarket,Holi,Bored,2
CUST0192,20,Male,East India,Ferrero Rocher,Occasionally,1142,Local Shop,Valentine's Day,Happy,4
CUST0193,43,Other,North India,Ferrero Rocher,Monthly,1732,Retail Store,Valentine's Day,Excited,1
CUST0194,15,Other,South India,Cadbury Dairy Milk,Weekly,1944,Supermarket,No Occasion,Happy,4
CUST0195,15,Male,North India,5 Star,Weekly,415,Online,Raksha Bandhan,Stressed,1
CUST0196,56,Other,North India,Ferrero Rocher,Occasionally,1235,Online,Diwali,Happy,2
CUST0197,34,Male,South India,Nestle KitKat,Occasionally,1812,Supermarket,Birthday,Stressed,4
CUST0198,29,Female,North India,Cadbury Dairy Milk,Monthly,994,Online,Holi,Happy,5
CUST0199,48,Male,South India,Amul Dark,Monthly,1025,Supermarket,Holi,Stressed,2
CUST0200,29,Male,South India,5 Star,Monthly,1561,Online,No Occasion,Relaxed,4
CUST0201,26,Male,North India,Nestle KitKat,Monthly,480,Supermarket,Birthday,Stressed,4
CUST0202,21,Other,West India,Cadbury Dairy Milk,Weekly,908,Supermarket,Diwali,Sad,2
CUST0203,42,Male,North India,Ferrero Rocher,Monthly,1562,Supermarket,Birthday,Bored,2
CUST0204,33,Male,East India,Cadbury Dairy Milk,Weekly,279,Online,Holi,Relaxed,2
CUST0205,24,Male,North India,Perk,Weekly,419,Supermarket,Diwali,Happy,3
CUST0206,49,Female,South India,Amul Dark,Monthly,227,Local Shop,Raksha Bandhan,Stressed,5
CUST0207,44,Male,East India,Cadbury Dairy Milk,Weekly,1930,Supermarket,Diwali,Excited,1
CUST0208,23,Other,South India,Cadbury Dairy Milk,Weekly,1483,Retail Store,Birthday,Relaxed,4
CUST0209,32,Male,West India,Amul Dark,Weekly,617,Retail Store,No Occasion,Relaxed,1
CUST0210,47,Male,West India,Nestle KitKat,Occasionally,1663,Local Shop,New Year,Happy,2
CUST0211,59,Female,East India,Cadbury Dairy Milk,Occasionally,1343,Supermarket,No Occasion,Relaxed,5
CUST0212,58,Male,West India,5 Star,Weekly,1279,Retail Store,Diwali,Stressed,5
CUST0213,23,Other,West India,Nestle KitKat,Monthly,842,Supermarket,No Occasion,Bored,3
CUST0214,20,Male,North India,Ferrero Rocher,Weekly,1813,Retail Store,Holi,Excited,2
CUST0215,16,Other,North India,Cadbury Dairy Milk,Monthly,949,Online,Valentine's Day,Happy,4
CUST0216,39,Female,West India,Amul Dark,Occasionally,1824,Online,No Occasion,Relaxed,3
CUST0217,56,Male,West India,Nestle KitKat,Occasionally,1024,Local Shop,Valentine's Day,Happy,2
CUST0218,52,Female,North India,Munch,Monthly,1873,Local Shop,No Occasion,Relaxed,3
CUST0219,50,Male,West India,Perk,Occasionally,131,Supermarket,No Occasion,Excited,1
CUST0220,59,Other,West India,Cadbury Dairy Milk,Occasionally,895,Local Shop,Holi,Relaxed,2
CUST0221,42,Female,South India,Nestle KitKat,Occasionally,811,Supermarket,Birthday,Stressed,4
CUST0222,56,Male,West India,Nestle KitKat,Monthly,1266,Online,Diwali,Happy,4
CUST0223,60,Other,East India,Ferrero Rocher,Monthly,667,Online,Birthday,Excited,2
CUST0224,60,Female,South India,5 Star,Monthly,1262,Retail Store,Birthday,Sad,3
CUST0225,39,Male,East India,Amul Dark,Weekly,1349,Supermarket,Holi,Relaxed,5
CUST0226,33,Female,West India,Cadbury Dairy Milk,Weekly,1147,Online,Holi,Happy,2
CUST0227,32,Male,North India,Perk,Occasionally,1083,Online,No Occasion,Stressed,4
CUST0228,16,Other,South India,Cadbury Dairy Milk,Monthly,1708,Supermarket,Diwali,Bored,1
CUST0229,23,Other,North India,5 Star,Occasionally,265,Retail Store,Holi,Relaxed,4
CUST0230,25,Female,South India,Perk,Weekly,339,Retail Store,No Occasion,Relaxed,5
CUST0231,21,Female,North India,Nestle KitKat,Weekly,494,Retail Store,Holi,Relaxed,4
CUST0232,16,Male,South India,Nestle KitKat,Occasionally,972,Retail Store,Diwali,Excited,5
CUST0233,24,Other,South India,5 Star,Monthly,601,Online,Diwali,Stressed,2
CUST0234,21,Male,East India,5 Star,Weekly,242,Supermarket,Diwali,Happy,4
CUST0235,25,Other,North India,Nestle KitKat,Occasionally,1712,Supermarket,New Year,Relaxed,3
CUST0236,60,Female,East India,Nestle KitKat,Occasionally,338,Online,New Year,Sad,3
CUST0237,38,Male,East India,Amul Dark,Monthly,632,Online,No Occasion,Excited,4
CUST0238,50,Male,North India,Cadbury Dairy Milk,Occasionally,1722,Online,Birthday,Excited,4
CUST0239,54,Other,South India,Cadbury Dairy Milk,Monthly,1217,Local Shop,Valentine's Day,Stressed,1
CUST0240,25,Other,East India,Cadbury Dairy Milk,Occasionally,1462,Supermarket,New Year,Happy,4
CUST0241,51,Other,North India,Cadbury Dairy Milk,Occasionally,1939,Supermarket,Holi,Bored,1
CUST0242,40,Female,South India,Ferrero Rocher,Weekly,1965,Supermarket,No Occasion,Relaxed,1
CUST0243,31,Male,East India,Munch,Monthly,1480,Retail Store,Holi,Sad,1
CUST0244,36,Other,East India,Perk,Weekly,1884,Online,Birthday,Sad,1
CUST0245,31,Female,East India,Cadbury Dairy Milk,Weekly,1443,Online,New Year,Relaxed,2
CUST0246,25,Other,South India,Ferrero Rocher,Occasionally,906,Online,No Occasion,Happy,3
CUST0247,25,Male,East India,Ferrero Rocher,Monthly,1514,Local Shop,Birthday,Excited,1
CUST0248,40,Other,South India,Cadbury Dairy Milk,Occasionally,830,Supermarket,Raksha Bandhan,Excited,3
CUST0249,14,Male,West India,Munch,Occasionally,945,Online,Raksha Bandhan,Relaxed,1
CUST0250,22,Female,East India,Nestle KitKat,Occasionally,969,Local Shop,Diwali,Relaxed,3
CUST0251,34,Female,West India,Munch,Occasionally,1724,Online,New Year,Happy,4
CUST0252,25,Other,North India,Nestle KitKat,Monthly,613,Retail Store,Diwali,Happy,4
CUST0253,21,Male,East India,Amul Dark,Monthly,1602,Supermarket,Raksha Bandhan,Stressed,3
CUST0254,45,Male,North India,Cadbury Dairy Milk,Weekly,1750,Local Shop,Valentine's Day,Stressed,1
CUST0255,26,Male,North India,Ferrero Rocher,Monthly,62,Online,Birthday,Bored,2
CUST0256,60,Other,North India,Cadbury Dairy Milk,Monthly,1775,Supermarket,Birthday,Excited,3
CUST0257,32,Male,West India,5 Star,Monthly,1036,Local Shop,New Year,Sad,5
CUST0258,27,Male,South India,5 Star,Monthly,389,Supermarket,Diwali,Relaxed,2
CUST0259,44,Male,West India,5 Star,Occasionally,914,Supermarket,Diwali,Happy,5
CUST0260,45,Male,West India,Perk,Occasionally,1947,Retail Store,Birthday,Bored,3
CUST0261,29,Other,North India,5 Star,Monthly,1937,Supermarket,Valentine's Day,Stressed,1
CUST0262,36,Other,East India,Cadbury Dairy Milk,Monthly,1849,Local Shop,Valentine's Day,Happy,5
CUST0263,42,Male,South India,Ferrero Rocher,Weekly,361,Supermarket,Diwali,Relaxed,3
CUST0264,25,Male,North India,Perk,Weekly,782,Local Shop,No Occasion,Excited,2
CUST0265,59,Female,South India,Amul Dark,Occasionally,1177,Supermarket,New Year,Excited,1
CUST0266,60,Female,West India,Perk,Weekly,388,Online,Diwali,Happy,5
CUST0267,28,Male,South India,Cadbury Dairy Milk,Occasionally,1271,Retail Store,Diwali,Excited,3
CUST0268,14,Male,South India,Cadbury Dairy Milk,Monthly,349,Online,No Occasion,Stressed,1
CUST0269,29,Female,East India,Munch,Weekly,1517,Retail Store,New Year,Happy,1
CUST0270,44,Female,North India,Amul Dark,Weekly,408,Local Shop,Birthday,Excited,4
CUST0271,55,Male,South India,Cadbury Dairy Milk,Monthly,1441,Retail Store,New Year,Excited,1
CUST0272,20,Other,South India,5 Star,Monthly,218,Supermarket,Holi,Relaxed,3
CUST0273,15,Other,West India,Munch,Occasionally,1222,Supermarket,Holi,Relaxed,2
CUST0274,24,Male,West India,Cadbury Dairy Milk,Occasionally,810,Online,Birthday,Excited,4
CUST0275,32,Male,South India,5 Star,Monthly,817,Retail Store,Birthday,Excited,3
CUST0276,28,Female,North India,Munch,Occasionally,1031,Local Shop,Diwali,Excited,3
CUST0277,26,Female,South India,Munch,Monthly,91,Local Shop,No Occasion,Relaxed,3
CUST0278,28,Other,South India,Munch,Occasionally,251,Supermarket,New Year,Bored,5
CUST0279,55,Male,East India,Ferrero Rocher,Weekly,1019,Local Shop,Raksha Bandhan,Bored,5
CUST0280,45,Female,North India,Nestle KitKat,Occasionally,1317,Supermarket,No Occasion,Happy,2
CUST0281,42,Other,East India,Cadbury Dairy Milk,Monthly,1742,Supermarket,No Occasion,Excited,3
CUST0282,24,Other,North India,Cadbury Dairy Milk,Weekly,513,Supermarket,No Occasion,Relaxed,5
CUST0283,27,Other,North India,Nestle KitKat,Weekly,498,Online,No Occasion,Stressed,5
CUST0284,30,Female,North India,Nestle KitKat,Monthly,962,Online,No Occasion,Sad,5
CUST0285,40,Female,East India,Cadbury Dairy Milk,Weekly,847,Supermarket,Raksha Bandhan,Happy,2
CUST0286,35,Male,East India,Nestle KitKat,Weekly,843,Supermarket,Holi,Relaxed,2
CUST0287,26,Male,East India,Cadbury Dairy Milk,Occasionally,486,Supermarket,Holi,Excited,3
CUST0288,42,Other,West India,5 Star,Occasionally,1966,Local Shop,Raksha Bandhan,Happy,4
CUST0289,45,Other,East India,Nestle KitKat,Occasionally,1823,Supermarket,Diwali,Relaxed,3
